d	e	j	brate	drate	b_exp	d_exp	m1	m2	t12	t21	Trait_1rate_lnL	Trait_1rate_d	Trait_1rate_e	Trait_1rate_j	Trait_1rate_t12	Trait_1rate_t21	Trait_1rate_m1	Trait_1rate_m2	Trait_2rates_lnL	Trait_2rates_d	Trait_2rates_e	Trait_2rates_j	Trait_2rates_t12	Trait_2rates_t21	Trait_2rates_m1	Trait_2rates_m2	DEC_lnL	DEC_d	DEC_e	DEC_j	DEC_t12	DEC_t21	DEC_m1	DEC_m2	DECj_lnL	DECj_d	DECj_e	DECj_j	DECj_t12	DECj_t21	DECj_m1	DECj_m2	DEC_t12_t21_m2_lnL	DEC_t12_t21_m2_d	DEC_t12_t21_m2_e	DEC_t12_t21_m2_j	DEC_t12_t21_m2_t12	DEC_t12_t21_m2_t21	DEC_t12_t21_m2_m1	DEC_t12_t21_m2_m2	DECj_t12_t21_m2_lnL	DECj_t12_t21_m2_d	DECj_t12_t21_m2_e	DECj_t12_t21_m2_j	DECj_t12_t21_m2_t12	DECj_t12_t21_m2_t21	DECj_t12_t21_m2_m1	DECj_t12_t21_m2_m2	DECj_t12_t21_m2_rep2_lnL	DECj_t12_t21_m2_rep2_d	DECj_t12_t21_m2_rep2_e	DECj_t12_t21_m2_rep2_j	DECj_t12_t21_m2_rep2_t12	DECj_t12_t21_m2_rep2_t21	DECj_t12_t21_m2_rep2_m1	DECj_t12_t21_m2_rep2_m2	DEC_noM_lnL	DEC_noM_d	DEC_noM_e	DEC_noM_j	DEC_noM_t12	DEC_noM_t21	DEC_noM_m1	DEC_noM_m2	DECj_noM_lnL	DECj_noM_d	DECj_noM_e	DECj_noM_j	DECj_noM_t12	DECj_noM_t21	DECj_noM_m1	DECj_noM_m2
0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	-22.9772953491679	0	0	0	0.010683690384874	0.010683690384874	1	1	-21.4976738318207	0	0	0	0.031944258661562	0.010524604291081	1	1	-97.2942339674499	0.00844006118762554	1e-12	0	NA	NA	NA	NA	-94.2968627622327	0.00733517030407737	1e-12	0.036835257789046	NA	NA	NA	NA	-117.524168170345	0.0147756029877971	1e-12	0	0.0332501878979613	0.00858526576257909	1	0.314917924291523	-114.962464518436	0.0118552211978178	1e-13	0.0532232697311792	0.0326651291139372	0.00944511533295632	1	0.429401532187644	-114.962645630631	0.0119175215620032	1e-13	0.0535331140054997	0.0326954755037138	0.00944056791258557	1	0.423250513216212	-118.791908148413	0.00844017717243943	1e-12	0	0.0319520186620763	0.010526232310714	1	1	-115.79453741364	0.00733582903017643	1e-12	0.0368470254967348	0.0319511442715408	0.0105309426282969	1	1
0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	-19.1290266362488	0	0	0	0.00774572422198473	0.00774572422198473	1	1	-18.9419645715153	0	0	0	1e-05	0.00731075561891368	1	1	-119.572100694114	0.0100913415396623	1e-12	0	NA	NA	NA	NA	-99.247734290511	0.00595046339592697	1e-12	0.215752011911492	NA	NA	NA	NA	-138.50580224424	0.00913263285557143	1e-12	0	1e-05	0.00731112410053194	1	1.12626718866662	-117.574146658204	0.00991595463681515	1e-13	0.386969284506739	1e-05	0.00732874124877457	1	0.508760385632656	-120.153602170089	0.0120319243208985	1e-13	0.478633483961486	1e-05	0.00541762713660697	1	0.23305870662705	-138.514065691546	0.0100918007004189	1e-12	0	1e-05	0.00731110222122737	1	1	-118.189699507971	0.00594919041330185	1e-12	0.215868746640738	1e-05	0.0073086704087827	1	1
0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	-16.5417077500146	0	0	0	0.00434487059988438	0.00434487059988438	1	1	-15.7702527303419	0	0	0	0.00653522807658323	0.0319976701500306	1	1	-109.51362440064	0.0124418409478771	0.000253825405202814	0	NA	NA	NA	NA	-100.67727992813	0.0098954466883486	1e-12	0.117681639835582	NA	NA	NA	NA	-122.696865046015	0.01458371539881	1e-12	0	0.00635562431530351	0.0296704621760922	1	0	-111.76481563058	0.0114532514551734	1e-13	0.202946122591173	0.00636540679334896	0.0320754688171329	1	0	-111.764839473827	0.0114515600887482	1e-13	0.20388103571543	0.00636601013488302	0.0320936461293034	1	0	-125.283878689756	0.0124436551440954	0.000255351963509708	0	0.00653586818951915	0.0319939315218106	1	1	-116.447549277748	0.00989357541512623	1e-12	0.117828207599159	0.00655069637902507	0.0321304147772741	1	1
0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	-15.273808824669	0	0	0	0.00587452267256113	0.00587452267256113	1	1	-15.2442807438698	0	0	0	0.00811069833489685	0.00571482742077056	1	1	-92.9959183368149	0.00850244926630378	1e-12	0	NA	NA	NA	NA	-92.0874366957491	0.00779905077136116	1e-12	0.0191009764069976	NA	NA	NA	NA	-106.642208667928	0.0147655805099752	1e-12	0	0.00834269017077752	0.00554427552581097	1	0.433464746999338	-107.33171817786	0.00779905077136116	1.1e-12	0.0191009764069976	0.00811069833489685	0.00571482742077056	1	1	-105.390902734085	0.0140775527967546	1e-13	0.0448532433295452	0.00849598940984666	0.0055398648225509	1	0.396262502714693	-108.240200006387	0.00850284341798222	1e-12	0	0.00811174777382498	0.00571406294448046	1	1	-107.331717980419	0.00780045805993645	1e-12	0.0190768952568272	0.00810624986804215	0.00571482961793617	1	1
0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	-22.9034499345419	0	0	0	0.0081235679276179	0.0081235679276179	1	1	-21.2103672073157	0	0	0	0.0490658707137468	0.0138599947138521	1	1	-103.302047828593	0.00609272260797562	1e-12	0	NA	NA	NA	NA	-96.7751556531085	0.00467493513249525	1e-12	0.0479286560315767	NA	NA	NA	NA	-124.252305473923	0.00381603632503456	1e-12	0	0.0440120418674066	0.0130117108226181	1	1.75806081332156	-117.597708700255	0.00270322459076493	1e-13	0.0273413034531252	0.0426535302606323	0.0128658297395075	1	1.95092834695437	-117.620775212758	0.00294640322514829	1e-13	0.0302979651247138	0.0462352117316864	0.0134428565439626	1	1.76002273507959	-124.512416246778	0.00609181215974188	1e-12	0	0.0490891611773195	0.0138617407293421	1	1	-117.985562089782	0.00467465065099131	1e-12	0.0478579051101403	0.0487943350551797	0.0138113774201862	1	1
0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	-20.4663558771936	0	0	0	0.00829960518827743	0.00829960518827743	1	1	-19.2487517814031	0	0	0	9.99999999999959e-06	0.00877397413398997	1	1	-104.885238931345	0.0102665971736115	1e-12	0	NA	NA	NA	NA	-104.19123724902	0.00949694889666901	1e-12	0.0232484959795674	NA	NA	NA	NA	-121.557019187167	0.0177576857192467	1e-12	0	1e-05	0.00867108977719533	1	0.410227496372816	-119.693512193316	0.0177072014297831	1e-13	0.0830615054813678	1e-05	0.00876544476698076	1	0.326259135196749	-119.693670171516	0.0176748924775721	1e-13	0.0820897921317716	1e-05	0.00877712817549246	1	0.327368292801072	-124.133991519433	0.0102661433334725	1e-12	0	1e-05	0.00877381396027515	1	1	-123.43998980041	0.00949607763927816	1e-12	0.0232605876664766	1e-05	0.00877498574387348	1	1
0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	-14.6014232532332	0	0	0	0.00531356247200514	0.00531356247200514	1	1	-14.2729839802356	0	0	0	9.99999999999959e-06	0.00533030016645986	1	1	-83.5461911151056	0.00712589895989987	1e-12	0	NA	NA	NA	NA	-77.7483846956735	0.00490883741782053	1e-12	0.0432308392943584	NA	NA	NA	NA	-97.7274885958175	0.00909687297844777	1e-12	0	1e-05	0.00532607063432936	1	0.745882192490731	-91.644977348745	0.0077213136342878	1e-13	0.0732021788223371	1e-05	0.00532318132787338	1	0.56190512432693	-91.6443466947491	0.00785367878093072	1e-13	0.0746608789118439	1e-05	0.00532288797730997	1	0.548835210244293	-97.8191755637999	0.00712537332506209	1e-12	0	1e-05	0.00533011491652016	1	1	-93.4690307393532	0.00327307265111714	1e-12	0.0308331203368413	1e-05	0.00355792300672188	1	1
0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	-12.7228612640302	0	0	0	0.00429514021316208	0.00429514021316208	1	1	-12.1361011719419	0	0	0	1e-05	0.00683277774119647	1	1	-102.609573935867	0.00993320609876293	1e-12	0	NA	NA	NA	NA	-95.595409943781	0.00767601177382702	1e-12	0.0500093200851334	NA	NA	NA	NA	-114.059435698705	0.0130192966558436	1e-12	0	1e-05	0.0068475217945176	1	0.611472904881013	-107.253749609576	0.00973929854280869	1e-13	0.0589601562528927	1e-05	0.00684208839178184	1	0.660719854416579	-107.253869907435	0.00978276698559813	1e-13	0.0597193846746208	1e-05	0.0068499988265503	1	0.655468539776126	-114.745675917992	0.00993192203745836	1e-12	0	1e-05	0.00683253261301446	1	1	-107.73151186322	0.00767662416413269	1e-12	0.0499996186982121	1e-05	0.00683199318416695	1	1
0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	-23.7835015604426	0	0	0	0.0118685933815517	0.0118685933815517	1	1	-21.4219280213575	0	0	0	0.108490441960449	0.0249646455838143	1	1	-72.2744375685613	0.00559021509074368	1e-12	0	NA	NA	NA	NA	-69.9372448615531	0.00457061914676334	1e-12	0.0174907055568055	NA	NA	NA	NA	-93.5793496745286	0.00360420042722542	1e-12	0	0.0828955778194439	0.0202659000403513	1	1.67588123314672	-91.3212624994606	0.00416514919060824	1e-13	0.0143698851362846	0.0999960750840094	0.0229955460585836	1	1.14298780597401	-91.2114751713354	0.00294268406007808	1e-13	0.0112516770764238	0.0837878989138671	0.0204721204926501	1	1.6766099048215	-93.7008263963695	0.00559028253056854	1e-12	0	0.1	0.023425184399443	1	1	-91.3636341729446	0.00456991181605791	1e-12	0.0174996616936602	0.1	0.0234389023423443	1	1
0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	-23.7520344885423	0	0	0	0.0147690361622615	0.0147690361622615	1	1	-23.7455631420946	0	0	0	0.0142737875740908	0.0150897673291778	1	1	-103.41297357147	0.00854186365643282	0.00184588212456545	0	NA	NA	NA	NA	-98.6752132489948	0.00672455393807458	1e-12	0.0417480182432065	NA	NA	NA	NA	-126.597985670073	0.0111621256233558	0.00196766350152323	0	0.0135138699785931	0.0147157876803862	1	0.580359256347634	-121.728972115438	0.00897730814092506	1e-13	0.0623131795115338	0.0133264789493811	0.0147820478754613	1	0.542173037359517	-121.72953914845	0.00892936886811996	1e-13	0.0613814480111162	0.013331794345736	0.0147642351759513	1	0.551044123409647	-127.158535321186	0.00854303390050203	0.00184211734230871	0	0.014273560638261	0.0150889051341882	1	1	-122.420777182218	0.00672431362832179	1e-12	0.0417567015893468	0.0142675484569266	0.0150840275632803	1	1
