param_iter	simnum	simcount	seed	d	e	j	brate	drate	b_exp	d_exp	m1	m2	t12	t21	nsp_sim	tree_ht_sim	tree_len_sim	nsp_obs	tree_ht_obs	tree_len_obs	time_spent_in_trait1	time_spent_in_trait2	total_time	pct_spent_in_trait1	pct_spent_in_trait2	sim_t12	sim_t21	sim_d_t1	sim_d_t2	sim_e_t1	sim_e_t2	sim_a_t1	sim_a_t2	obs_t12	obs_t21	obs_d_t1	obs_d_t2	obs_e_t1	obs_e_t2	obs_a_t1	obs_a_t2	sim_j_t1	sim_j_t2	sim_y_t1	sim_y_t2	sim_s_t1	sim_s_t2	sim_v_t1	sim_v_t2	obs_j_t1	obs_j_t2	obs_y_t1	obs_y_t2	obs_s_t1	obs_s_t2	obs_v_t1	obs_v_t2
1	44	44	592230829	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	89.1107216293634	903.408192442785	50	89.1107216293634	903.408192442785	727.862432022271	175.545760420514	903.408192442785	80.6	19.4	4	2	22	1	0	0	0	0	4	2	22	1	0	0	0	0	14	1	21	2	8	2	1	0	14	1	21	2	8	2	1	0
1	45	45	592230830	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	64.7521733024748	1086.49218376491	50	64.7521733024748	1086.49218376491	544.897490014154	541.594693750753	1086.49218376491	50.2	49.8	0	6	20	9	0	0	0	0	0	6	20	9	0	0	0	0	4	7	8	17	6	1	4	2	4	7	8	17	6	1	4	2
1	46	46	592230831	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	55.6866626374398	928.713296443129	50	55.6866626374398	928.713296443129	138.319212400199	790.39408404293	928.713296443129	14.9	85.1	1	5	11	19	0	0	0	0	1	5	11	19	0	0	0	0	0	10	2	25	0	6	1	5	0	10	2	25	0	6	1	5
1	47	47	592230832	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	112.899955688787	1263.27817000353	50	112.899955688787	1263.27817000353	975.576967031844	287.701202971683	1263.27817000353	77.2	22.8	5	5	30	6	0	0	0	0	5	5	30	6	0	0	0	0	11	2	14	3	8	1	10	0	11	2	14	3	8	1	10	0
1	48	48	592230833	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	54.9478114086217	1037.27708566731	50	54.9478114086217	1037.27708566731	185.851710277967	851.425375389342	1037.27708566731	17.9	82.1	2	6	4	15	0	0	0	0	2	6	4	15	0	0	0	0	2	6	3	28	2	5	2	1	2	6	3	28	2	5	2	1
1	49	49	592230834	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	71.6368817768299	985.622183194495	50	71.6368817768299	985.622183194495	219.964829088131	765.657354106365	985.622183194495	22.3	77.7	0	7	6	24	0	0	0	0	0	7	6	24	0	0	0	0	2	6	2	28	0	6	3	2	2	6	2	28	0	6	3	2
1	50	50	592230835	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	49.7316360368381	989.214899387501	50	49.7316360368381	989.214899387501	688.075430275057	301.139469112444	989.214899387501	69.6	30.4	3	8	15	5	0	0	0	0	3	8	15	5	0	0	0	0	8	4	16	12	3	2	4	0	8	4	16	12	3	2	4	0
1	51	51	592230836	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	76.5357418690723	1292.36657674212	50	76.5357418690723	1292.36657674212	563.607132110825	728.759444631293	1292.36657674212	43.6	56.4	2	5	8	11	0	0	0	0	2	5	8	11	0	0	0	0	4	3	14	15	3	5	3	2	4	3	14	15	3	5	3	2
1	52	52	592230837	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	56.9780490810482	1014.57541754516	50	56.9780490810482	1014.57541754516	212.562256392731	802.013161152427	1014.57541754516	21	79	3	8	5	16	0	0	0	0	3	8	5	16	0	0	0	0	3	11	7	19	0	5	1	3	3	11	7	19	0	5	1	3
1	53	53	592230838	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	88.5839577440354	1098.52013564465	50	88.5839577440354	1098.52013564465	358.087156788654	740.432978855993	1098.52013564465	32.6	67.4	2	7	10	13	0	0	0	0	2	7	10	13	0	0	0	0	3	4	2	16	8	11	2	3	3	4	2	16	8	11	2	3
